state,laws,bothSystems,juveOnly,adultOnly,preAdjudication,postAdjudication,voluntaryVictim,voluntaryOffender,mandatoryOffender,Appendix 2A: BOTH JUVENILE JUSTICE SYSTEM AND ADULT CRIMINAL JUSTICE SYSTEM,,,Appendix 2B: JUVENILE JUSTICE SYSTEM EXCLUSIVE LAWS,,,Appendix 2C: CRIMINAL JUSTICE SYSTEM EXCLUSIVE LAWS,,,Appendix 3A: PRE-ADJUDICATION,,,Appendix 3B: POST-ADJUDICATION,,,Appendix 6A: VOLUNTARY PARTICIPATION OF VICTIM,,,Appendix 6B: VOLUNTARY PARTICIPATION OF OFFENDER,,,Appendix 6C: MANDATORY PARTICIPATION OF OFFENDER,
Alabama,ALA. CODE § 12-25-32(2)(b)(23)(i)-(iii) (2020),Juvenile and Adult System,,,,,Voluntary Participation of Victim,Voluntary Participation of Offender,,Alabama,ALA. CODE ¤ 12-25-32(2)(b)(23)(i)Ð(iii) (2020),,Alaska,ALASKA BAR R. 23. (West 2020),,Alaska,ALASKA R. CRIM. PROC. 11(i)(3) (West 2020),,Alabama,ALA. CODE ¤ 45-28-82.25 (2020),,Alaska,ALASKA R. CRIM. PROC. 11(i)(3) (West 2020),,Alabama,ALA. CODE ¤ 12-25-32(2)(b)(23)(i)Ð(iii) (2020),,Alabama,ALA. CODE ¤ 12-17-226.6(h) (2020),,California,CAL. WELF. & INST CODE ¤ 202(e) (West 2020)
Alabama,ALA. CODE § 15-18-180(b)(1) (2020),Juvenile and Adult System,,,,,,,,Alabama,ALA. CODE ¤ 15-18-180(b)(1) (2020),,Alaska,ALASKA R. MINOR OFF. PROC. 21 (West 2020),,Arizona,ARIZ. REV. ANN. ¤ 12-299(1) (2020),,Alabama,ALA. CODE ¤ 45-39-82.05 (2020),,Alaska,ALASKA BAR R. 23. (West 2020),,Alaska,ALASKA R. CRIM. PROC. 11(i)(3) (West 2020),,Alabama,ALA. CODE ¤ 12-25-32(2)(b)(23)(i)Ð(iii) (2020),,California,CAL. PENAL CODE ¤ 8052(e)(6) (West 2020)
Alabama,ALA. CODE § 45-28-82.25 (2020),Juvenile and Adult System,,,Pre-Adjudication,,,,,Alabama,ALA. CODE ¤ 45-28-82.25 (2020),,Arkansas,ARK. CODE ANN. ¤ 016.14.3-6000 App. D(10) (2020),,California,CAL. PENAL CODE ¤ 8052(e)(6) (West 2020),,Alabama,ALA. CODE ¤ 12-17-226.6(h) (2020),,Alaska,ALASKA R. MINOR OFF. PROC. 21 (West 2020),,Alaska,ALASKA BAR R. 23. (West 2020),,Alaska,ALASKA R. CRIM. PROC. 11(i)(3) (West 2020),,California,CAL. PENAL CODE ¤ 17.5(a)(8)(E) (West 2020)
Alabama,ALA. CODE § 45-39-82.05 (2020),Juvenile and Adult System,,,Pre-Adjudication,,,,,Alabama,ALA. CODE ¤ 45-39-82.05 (2020),,Arkansas,ARK. CODE ANN. ¤ 016.14.3-6000 App. C (2020),,California,CAL. PENAL CODE ¤ 3450(B)(8) (West 2020),,Colorado,COLO. REV. STAT. ¤ 19-2-512(2) (2020),,California,CAL. WELF. & INST CODE ¤ 742(b) (West 2020),,California,CAL. WELF. & INST CODE ¤ 202(e) (West 2020),,California,CAL. PENAL CODE ¤ 1170(a)(2) (West 2020),,California,CAL. PENAL CODE ¤ 3450(B)(8) (West 2020)
Alabama,ALA. CODE § 12-17-226.6(h) (2020),Juvenile and Adult System,,,Pre-Adjudication,,,Voluntary Participation of Offender,,Alabama,ALA. CODE ¤ 12-17-226.6(h) (2020),,California,CAL. WELF. & INST CODE ¤ 742(b) (West 2020),,California,CAL. PENAL CODE ¤ 1170(a)(2) (West 2020),,Colorado,COLO. REV. STAT. ¤ 24-4.1-302.5(1)(l.5) (2020),,California,CAL. R. CT. 4.427 (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-512(2) (2020),,California,CAL. CODE REGS. tit. 15 ¤ 1371 (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-905(4) (2020)
Alaska,ALASKA R. CRIM. PROC. 11(i)(3) (West 2020),,,Adult System,,Post-Adjudication,Voluntary Participation of Victim,Voluntary Participation of Offender,,California,CAL. PENAL CODE ¤ 17.5(a)(8)(E) (West 2020),,California,CAL. MENDOCINO SUPER. CT. R. 5.8(1)(o) (2020),,California,CAL. PENAL CODE ¤ 1230(B) (West 2020),,Colorado,COLO. REV. STAT. ¤ 18-1.3-101(9)(b) (2020),,California,CAL. CODE REGS. tit. 15 ¤ 1371 (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-905(4) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-512(2) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-907(1)(l) (2020)
Alaska,ALASKA BAR R. 23. (West 2020),,Juvenile System,,,Post-Adjudication,Voluntary Participation of Victim,,,California,CAL. R. CT. 4.427 (2020),,California,CAL. WELF. & INST CODE ¤ 202(e) (West 2020),,California,CAL. PENAL CODE ¤ 5006(a)(1)(D) (West 2020),,Delaware,"DEL. CODE ANN. tit. 11, ¤ 9504(b) (2019)",,California,CAL. PENAL CODE ¤ 5006(a)(1)(D) (West 2020),,Colorado,COLO. REV. STAT. ¤ 19-2-907(1)(l) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-311 (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-302.5(2)(e) (2020)
Alaska,ALASKA R. MINOR OFF. PROC. 21 (West 2020),,Juvenile System,,,Post-Adjudication,,,,California,CAL. PENAL CODE ¤ 422.86(a) (West 2020),,California,CAL. CODE REGS. tit. 15 ¤ 1371 (2020),,Colorado,COLO. REV. STAT. ¤ 13-3-116 (2020),,District of Columbia,D.C. CODE ANN. ¤ 1-301.81(a)(3) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-905(4) (2020),,Colorado,COLO. REV. STAT. ¤ 18-7-109(5)(d) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-905(4) (2020),,Colorado,COLO. REV. STAT. ¤ 18-7-109(5)(d) (2020)
Arizona,ARIZ. REV. ANN. § 12-299(1) (2020),,,Adult System,,,,,,California,CAL. PENAL CODE ¤ 5027(b) (West 2020),,California,CAL. SONOMA SUPER. CT. R. 10.12(B)(1) (2020),,Colorado,COLO. REV. STAT. ¤ 17-28-103 (2020),,Florida,FLA. STAT. ¤ 985.155 (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-907(1)(l) (2020),,Colorado,COLO. REV. STAT. ¤ 17-28-103 (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-708(2) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1.3-104(1)(b.5)(I) (2020)
California,CAL. WELF. & INST CODE § 742(b) (West 2020),,Juvenile System,,,Post-Adjudication,,,,Colorado,COLO. REV. STAT. ¤ 18-1.3-104(1)(b.5)(I) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-512(2) (2020),,Colorado,COLO. REV. STAT. ¤ 16-7-301(f) (2020),,Minnesota,MINN. STAT. ¤ 611A.77 subd. 2(1)(2) (2020),,Colorado,COLO. REV. STAT. ¤ 18-7-109(5)(d) (2020),,Colorado,COLO. REV. STAT. ¤ 24-4.1-302.5(1)(l.5) (2020),,Colorado,COLO. REV. STAT. ¤ 16-7-202(1) (2020),,Connecticut,CONN. GEN. STAT. ¤ 18-100h(a) (2020)
