name,state,url,contact,lat,long,address
Division of Juvenile Justice,Alaska,https://dhss.alaska.gov/djj/Pages/default.aspx,"Shannon Dilley, Director, 907-465-2212",58.30107297,-134.4098745,"240 Main St #700, Juneau, AK 99801"
University of Alaska Fairbanks Restorative Justice Initiative,Alaska,https://uaf.edu/justice/restorative-justice.php,"Robert Duke, Director, jrduke@alaska.edu, (907) 474-6501",64.85668178,-147.8217041,"1747 S Chandalar Drive, Fairbanks, AK 99775"
Alabama Center for Dispute Resolution,Alabama,https://www.alabamaadr.org/,"Eileen L. Harris, Executive Director, director@alabamaadr.org, (334) 356-3802",32.3774284,-86.30877396,"P.O. Box 680516, Prattville, Alabama 36068"
University of North Alabama Restorative Justice Lab,Alabama,https://una.edu/pjl/restorative-justice-lab.html,"Alex Aquado, Department Chair and Professor of Political Science, naaquado@una.edu",34.80790545,-87.67818196,"007 Willingham Hall, UNA Box 5194, Aderholt Way, Florence, AL 35630"
Arizona Department of Juvenile Corrections Victim's Rights Unit,Arizona,https://adjc.az.gov/public-resources/victims-rights-unit,"bbroeker@azdjc.gov, (602) 364-3513",33.44914133,-112.0927466,"100 N. 15th Avenue, Suite 103, Phoenix, Arizona 85007"
Restorative Justice Advocates at ASU,Arizona,https://career.asu.edu/organizations/restorative-justice-advocates-at-asu/,"rjaatasu@gmail.com, 480-965-7013",33.41965467,-111.9311925,"777 Novus, Suite 310aa, Tempe, AZ 85287-4308"
Pima County Attorney's Office,Arizona,https://www.pcao.pima.gov/pcao-divisions/diversion-programs/,"Jordanna Carvalho, Supervisor, Jordanna.carvalho@Pcao.pima.gov, (520) 724-5600",32.2227516,-110.9710272,"32 N. Stone Ave, Tucson, AZ 85701"
Circles of Peace,Arizona,https://www.circlesofpeace.us,"Blanca Acosta, Executive Director (online contact form)",31.33521882,-110.9399413,"155 N Morley Ave, Nogales, AZ 85621, USA"
Yuma County Community Justice Boards,Arizona,https://www.yumacountyaz.gov/government/county-attorney/community-justice-programs,"Mary White, (928) 817-4300, mary.white@yumacountyaz.gov",32.72445244,-114.6186127,"Yuma County 198 S. Main St. YUMA, AZ 85364"
Northern Arizona Restorative Justice,Arizona,https://www.narj.org/,"Jeremy J Hawkes, Executive Director, narjusticeorg@gmail.com, (928) 202-0446",34.86226007,-111.7821775,"1225 W St RTE 89a, Suite 201, Sedona AZ 86336"
Yolo Restorative Justice Partnership,California,https://yoloda.org/progressive-programs/neighborhood-court/,"Chris Bulkeley, Supervising Deputy District Attorney, Christopher.Bulkeley@yolocounty.org, (530) 666-8202",38.67860622,-121.7717641,"301 Second Street, Woodland, CA 95695"
Oakland Unified School District Restorative Justice Program,California,https://www.ousd.org/restorativejustice,"David Yusem, Restorative Justice Coordinator, david.yusem@ousd.k12.ca.us",37.80172591,-122.2720772,"1000 Broadway, Suite 150, Oakland, CA 94607"
Restorative Justice Center at UC Berkeley,California,https://rjcenterberkeley.org/,"Julie Shackford-Bradley, Co-founder and Director, rjcenterberkeley@gmail.com, (510) 859-3780",37.86719846,-122.2557297,"2610 Channing Way, Berkeley, CA 94704"
Restorative Justice Mediation Program,California, https://www.sdrjmp.org/,"office@sdrjmp.org, (161) 928-01993",32.74937547,-117.1934098,"2341 Jefferson St, Suite 102, San Diego, CA 92110"
California Conference for Equality and Justice,California,https://www.cacej.org/,"info@cacej.org, (562) 435-8184",33.82271861,-118.1896157,"3605 Long Beach Blvd., Suite 100, Long Beach, CA 90807"
Restorative Justice for Oakland Youth,California, https://rjoyoakland.org/,"Teiahsha Bankhead, Executive Director, rjoy@rjoyoakland.org, (510) 931-7569",37.79979508,-122.286563,"173 Filbert Oakland, CA 94607"
California Catholic Conference: Restore Justice,California,https://www.cacatholic.org/restorejustice/,"Debbie McDermott, Restorative Justice Committee Member, dmcdermott@cacatholic.org, (916) 313-4015",38.57904738,-121.4915803,"1119 K Street, Sacramento CA 95814"
SEEDS: Community Resolution Center,California,https://www.seedscrc.org/,"info@seedscrc.org, (510) 548-2377",37.86015583,-122.2896531,"2530 San Pablo Ave. Suite A, Berkeley, CA 94702"
Restorative Justice Partners,California,https://restorativejusticepartners.com/,restorativejusticepartners@gmail.com,36.68014404,-121.8033263,"229 Reindollar Ave., Suite B Marina, CA 93933"
Insight Prison Project,California,https://www.insightprisonproject.org/,"Info@InsightPrisonProject.org, 415-459-9800",37.94618569,-122.4857228,"2169 Francisco Blvd E STE E, San Rafael, CA 94901"
 Restorative Justice & Detention Ministry,California,https://www.rcbo.org/group/restore/,"Fred La Puzza, Director, flapuzza@rcbo.org, (714) 282-4261",33.78746536,-117.8987754,"13280 Chapman Ave, Garden Grove, CA 92840"
Restorative Justice Colorado,Colorado,https://www.rjcolorado.org/,(720) 625-5000,39.73836786,-104.9872699,"1300 Broadway, Ste 1200 Denver, CO 80203 United States"
Boulder County: Center for Prevention and Restorative Justice,Colorado,https://www.bouldercounty.org/district-attorney/center-for-prevention-and-restorative-justice/,(303) 441-3700,40.01509152,-105.287406,"Justice Center, 1777 Sixth Street, Boulder, CO 80302"
Estes Valley Restorative Justice Partnership,Colorado,https://www.colorado.gov/pacific/townofestespark/restorativejustice,"Becky Weller, Restorative Justice Program Coordinator, rweller@estes.org, (960) 577-3818",40.37819309,-105.5202593,"170 McGregor Ave., Suite 204 Estes Park, CO 80517"
Center for Restorative Programs,Colorado, https://restorativeprograms.org/,"info@restorativeprograms.org, (719) 589-5255",37.46868579,-105.8678068,"716 Main Street, Alamosa, CO 81101"
Full Circle Restorative Justice,Colorado, https://www.fullcirclerj.net/,"Eric Lee, Executive Director, director@fullcirclerj.org, (719) 530-5597",38.53507673,-105.9876404,"448 E. 1st Street, Suite 208, Salida, CO 81201"
La Plata Youth Services,Colorado, https://www.lpys.org/,"Chris Braun, Diversion Program Manager, info@lpys.org, (970) 884-0587",37.29139296,-107.8745374,"2490 Main Avenue, Durango, CO 81301"
Longmont Community Justice Partnerships,Colorado, https://www.lcjp.org/,"Aiden Allen, Restorative Justice Program Coordinator, aiden@lcjp.org, (303) 776-1527",40.16903768,-105.1025224,"528 Main St, Longmont, CO 80501"
