date,count
4/2/22,115
4/3/22,111
4/4/22,138
4/5/22,148
4/6/22,149
4/7/22,117
4/8/22,140
4/9/22,122
4/10/22,116
4/11/22,124
4/12/22,110
4/13/22,135
4/14/22,137
4/15/22,122
4/16/22,144
4/17/22,121
4/18/22,99
4/19/22,133
4/20/22,129
4/21/22,135
4/22/22,132
4/23/22,127
4/24/22,133
4/25/22,140
4/26/22,106
4/27/22,126
4/28/22,125
4/29/22,158
4/30/22,140
5/1/22,164
5/2/22,139
5/3/22,136
5/4/22,135
5/5/22,153
5/6/22,123
5/7/22,156
5/8/22,150
5/9/22,140
5/10/22,154
5/11/22,136
5/12/22,150
5/13/22,169
5/14/22,183
5/15/22,150
5/16/22,196
5/17/22,148
5/18/22,123
5/19/22,151
5/20/22,146
5/21/22,171
5/22/22,197
5/23/22,135
5/24/22,166
5/25/22,143
5/26/22,157
5/27/22,151
5/28/22,159
5/29/22,121
5/30/22,127
5/31/22,123
6/1/22,141
6/2/22,163
6/3/22,146
6/4/22,142
6/5/22,167
6/6/22,149
6/7/22,156
6/8/22,125
6/9/22,154
6/10/22,152
6/11/22,150
6/12/22,145
6/13/22,159
6/14/22,182
6/15/22,174
6/16/22,144
6/17/22,194
6/18/22,162
6/19/22,125
6/20/22,136
6/21/22,155
6/22/22,147
6/23/22,161
6/24/22,151
6/25/22,170
6/26/22,141
6/27/22,188
6/28/22,152
6/29/22,136
6/30/22,155
7/1/22,162
7/2/22,159
7/3/22,165
7/4/22,166
7/5/22,157
7/6/22,167
7/7/22,180
7/8/22,137
7/9/22,153
7/10/22,146
7/11/22,130
7/12/22,186
7/13/22,178
7/14/22,144
7/15/22,151
7/16/22,149
7/17/22,148
7/18/22,174
7/19/22,155
7/20/22,196
7/21/22,171
7/22/22,186
7/23/22,174
7/24/22,254
7/25/22,175
7/26/22,180
7/27/22,145
7/28/22,144
7/29/22,168
7/30/22,154
7/31/22,177
8/1/22,153
8/2/22,171
8/3/22,173
8/4/22,200
8/5/22,207
8/6/22,154
8/7/22,169
8/8/22,144
8/9/22,190
8/10/22,172
8/11/22,177
8/12/22,162
8/13/22,157
8/14/22,143
8/15/22,164
8/16/22,180
8/17/22,197
8/18/22,166
8/19/22,193
8/20/22,153
8/21/22,182
8/22/22,168
8/23/22,161
8/24/22,165
8/25/22,137
8/26/22,249
8/27/22,174
8/28/22,122
8/29/22,141
8/30/22,168
8/31/22,154
9/1/22,177
9/2/22,147
9/3/22,142
9/4/22,164
9/5/22,162
9/6/22,135
9/7/22,157
9/8/22,159
9/9/22,168
9/10/22,170
9/11/22,184
9/12/22,187
9/13/22,200
9/14/22,186
9/15/22,162
9/16/22,154
9/17/22,182
9/18/22,161
9/19/22,158
9/20/22,139
9/21/22,154
9/22/22,160
9/23/22,162
9/24/22,157
9/25/22,126
9/26/22,175
9/27/22,177
9/28/22,151
9/29/22,178
9/30/22,188
10/1/22,160
10/2/22,140
10/3/22,156
10/4/22,188
10/5/22,171
10/6/22,188
10/7/22,193
10/8/22,135
10/9/22,138
10/10/22,169
10/11/22,149
10/12/22,197
10/13/22,172
10/14/22,201
10/15/22,134
10/16/22,125
10/17/22,156
10/18/22,155
10/19/22,153
10/20/22,155
10/21/22,170
10/22/22,164
10/23/22,156
10/24/22,145
10/25/22,147
10/26/22,170
10/27/22,160
10/28/22,153
10/29/22,180
10/30/22,146
10/31/22,166
11/1/22,150
11/2/22,169
11/3/22,134
11/4/22,152
11/5/22,157
11/6/22,134
11/7/22,158
11/8/22,161
11/9/22,153
11/10/22,142
11/11/22,160
11/12/22,198
11/13/22,122
11/14/22,146
11/15/22,161
11/16/22,151
11/17/22,157
11/18/22,127
11/19/22,164
11/20/22,150
11/21/22,158
11/22/22,164
11/23/22,143
11/24/22,153
11/25/22,118
11/26/22,119
11/27/22,126
11/28/22,126
11/29/22,182
11/30/22,152
12/1/22,126
12/2/22,164
12/3/22,145
12/4/22,139
12/5/22,151
12/6/22,156
12/7/22,140
12/8/22,139
12/9/22,134
12/10/22,98
12/11/22,122
12/12/22,143
12/13/22,150
12/14/22,147
12/15/22,129
12/16/22,132
12/17/22,127
12/18/22,141
12/19/22,129
12/20/22,127
12/21/22,136
12/22/22,127
12/23/22,203
12/24/22,150
12/25/22,161
12/26/22,170
12/27/22,139
12/28/22,163
12/29/22,151
12/30/22,146
12/31/22,143
1/1/23,143
1/2/23,128
1/3/23,136
1/4/23,142
1/5/23,121
1/6/23,123
1/7/23,108
1/8/23,130
1/9/23,108
1/10/23,119
1/11/23,130
1/12/23,132
1/13/23,148
1/14/23,141
1/15/23,127
1/16/23,110
1/17/23,143
1/18/23,116
1/19/23,140
1/20/23,167
1/21/23,127
1/22/23,115
1/23/23,123
1/24/23,140
1/25/23,112
1/26/23,159
1/27/23,139
1/28/23,126
1/29/23,135
1/30/23,131
1/31/23,126
2/1/23,188
2/2/23,136
2/3/23,191
2/4/23,751
2/5/23,849
2/6/23,235
2/7/23,146
2/8/23,147
2/9/23,173
2/10/23,174
2/11/23,139
2/12/23,129
2/13/23,141
2/14/23,156
2/15/23,141
2/16/23,153
2/17/23,142
2/18/23,123
2/19/23,111
2/20/23,128
2/21/23,134
2/22/23,130
2/23/23,127
2/24/23,166
2/25/23,131
2/26/23,132
2/27/23,124
2/28/23,123
3/1/23,146
3/2/23,140
3/3/23,135
3/4/23,127
3/5/23,132
3/6/23,118
3/7/23,134
3/8/23,119
3/9/23,126
3/10/23,148
3/11/23,128
3/12/23,121
3/13/23,144
3/14/23,151
3/15/23,139
3/16/23,151
3/17/23,144
3/18/23,107
3/19/23,125
3/20/23,116
3/21/23,117
3/22/23,125
3/23/23,129
3/24/23,145
3/25/23,129
3/26/23,134
3/27/23,143
3/28/23,161
3/29/23,123
3/30/23,124
3/31/23,128
4/1/23,148
