date,value
2022-04-02,115
2022-04-03,111
2022-04-04,138
2022-04-05,148
2022-04-06,149
2022-04-07,117
2022-04-08,140
2022-04-09,122
2022-04-10,116
2022-04-11,124
2022-04-12,110
2022-04-13,135
2022-04-14,137
2022-04-15,122
2022-04-16,144
2022-04-17,121
2022-04-18,99
2022-04-19,133
2022-04-20,129
2022-04-21,135
2022-04-22,132
2022-04-23,127
2022-04-24,133
2022-04-25,140
2022-04-26,106
2022-04-27,126
2022-04-28,125
2022-04-29,158
2022-04-30,140
2022-05-01,164
2022-05-02,139
2022-05-03,136
2022-05-04,135
2022-05-05,153
2022-05-06,123
2022-05-07,156
2022-05-08,150
2022-05-09,140
2022-05-10,154
2022-05-11,136
2022-05-12,150
2022-05-13,169
2022-05-14,183
2022-05-15,150
2022-05-16,196
2022-05-17,148
2022-05-18,123
2022-05-19,151
2022-05-20,146
2022-05-21,171
2022-05-22,197
2022-05-23,135
2022-05-24,166
2022-05-25,143
2022-05-26,157
2022-05-27,151
2022-05-28,159
2022-05-29,121
2022-05-30,127
2022-05-31,123
2022-06-01,141
2022-06-02,163
2022-06-03,146
2022-06-04,142
2022-06-05,167
2022-06-06,149
2022-06-07,156
2022-06-08,125
2022-06-09,154
2022-06-10,152
2022-06-11,150
2022-06-12,145
2022-06-13,159
2022-06-14,182
2022-06-15,174
2022-06-16,144
2022-06-17,194
2022-06-18,162
2022-06-19,125
2022-06-20,136
2022-06-21,155
2022-06-22,147
2022-06-23,161
2022-06-24,151
2022-06-25,170
2022-06-26,141
2022-06-27,188
2022-06-28,152
2022-06-29,136
2022-06-30,155
2022-07-01,162
2022-07-02,159
2022-07-03,165
2022-07-04,166
2022-07-05,157
2022-07-06,167
2022-07-07,180
2022-07-08,137
2022-07-09,153
2022-07-10,146
2022-07-11,130
2022-07-12,186
2022-07-13,178
2022-07-14,144
2022-07-15,151
2022-07-16,149
2022-07-17,148
2022-07-18,174
2022-07-19,155
2022-07-20,196
2022-07-21,171
2022-07-22,186
2022-07-23,174
2022-07-24,254
2022-07-25,175
2022-07-26,180
2022-07-27,145
2022-07-28,144
2022-07-29,168
2022-07-30,154
2022-07-31,177
2022-08-01,153
2022-08-02,171
2022-08-03,173
2022-08-04,200
2022-08-05,207
2022-08-06,154
2022-08-07,169
2022-08-08,144
2022-08-09,190
2022-08-10,172
2022-08-11,177
2022-08-12,162
2022-08-13,157
2022-08-14,143
2022-08-15,164
2022-08-16,180
2022-08-17,197
2022-08-18,166
2022-08-19,193
2022-08-20,153
2022-08-21,182
2022-08-22,168
2022-08-23,161
2022-08-24,165
2022-08-25,137
2022-08-26,249
2022-08-27,174
2022-08-28,122
2022-08-29,141
2022-08-30,168
2022-08-31,154
2022-09-01,177
2022-09-02,147
2022-09-03,142
2022-09-04,164
2022-09-05,162
2022-09-06,135
2022-09-07,157
2022-09-08,159
2022-09-09,168
2022-09-10,170
2022-09-11,184
2022-09-12,187
2022-09-13,200
2022-09-14,186
2022-09-15,162
2022-09-16,154
2022-09-17,182
2022-09-18,161
2022-09-19,158
2022-09-20,139
2022-09-21,154
2022-09-22,160
2022-09-23,162
2022-09-24,157
2022-09-25,126
2022-09-26,175
2022-09-27,177
2022-09-28,151
2022-09-29,178
2022-09-30,188
2022-10-01,160
2022-10-02,140
2022-10-03,156
2022-10-04,188
2022-10-05,171
2022-10-06,188
2022-10-07,193
2022-10-08,135
2022-10-09,138
2022-10-10,169
2022-10-11,149
2022-10-12,197
2022-10-13,172
2022-10-14,201
2022-10-15,134
2022-10-16,125
2022-10-17,156
2022-10-18,155
2022-10-19,153
2022-10-20,155
2022-10-21,170
2022-10-22,164
2022-10-23,156
2022-10-24,145
2022-10-25,147
2022-10-26,170
2022-10-27,160
2022-10-28,153
2022-10-29,180
2022-10-30,146
2022-10-31,166
2022-11-01,150
2022-11-02,169
2022-11-03,134
2022-11-04,152
2022-11-05,157
2022-11-06,134
2022-11-07,158
2022-11-08,161
2022-11-09,153
2022-11-10,142
2022-11-11,160
2022-11-12,198
2022-11-13,122
2022-11-14,146
2022-11-15,161
2022-11-16,151
2022-11-17,157
2022-11-18,127
2022-11-19,164
2022-11-20,150
2022-11-21,158
2022-11-22,164
2022-11-23,143
2022-11-24,153
2022-11-25,118
2022-11-26,119
2022-11-27,126
2022-11-28,126
2022-11-29,182
2022-11-30,152
2022-12-01,126
2022-12-02,164
2022-12-03,145
2022-12-04,139
2022-12-05,151
2022-12-06,156
2022-12-07,140
2022-12-08,139
2022-12-09,134
2022-12-10,98
2022-12-11,122
2022-12-12,143
2022-12-13,150
2022-12-14,147
2022-12-15,129
2022-12-16,132
2022-12-17,127
2022-12-18,141
2022-12-19,129
2022-12-20,127
2022-12-21,136
2022-12-22,127
2022-12-23,203
2022-12-24,150
2022-12-25,161
2022-12-26,170
2022-12-27,139
2022-12-28,163
2022-12-29,151
2022-12-30,146
2022-12-31,143
2023-01-01,143
2023-01-02,128
2023-01-03,136
2023-01-04,142
2023-01-05,121
2023-01-06,123
2023-01-07,108
2023-01-08,130
2023-01-09,108
2023-01-10,119
2023-01-11,130
2023-01-12,132
2023-01-13,148
2023-01-14,141
2023-01-15,127
2023-01-16,110
2023-01-17,143
2023-01-18,116
2023-01-19,140
2023-01-20,167
2023-01-21,127
2023-01-22,115
2023-01-23,123
2023-01-24,140
2023-01-25,112
2023-01-26,159
2023-01-27,139
2023-01-28,126
2023-01-29,135
2023-01-30,131
2023-01-31,126
2023-02-01,188
2023-02-02,136
2023-02-03,191
2023-02-04,751
2023-02-05,849
2023-02-06,235
2023-02-07,146
2023-02-08,147
2023-02-09,173
2023-02-10,174
2023-02-11,139
2023-02-12,129
2023-02-13,141
2023-02-14,156
2023-02-15,141
2023-02-16,153
2023-02-17,142
2023-02-18,123
2023-02-19,111
2023-02-20,128
2023-02-21,134
2023-02-22,130
2023-02-23,127
2023-02-24,166
2023-02-25,131
2023-02-26,132
2023-02-27,124
2023-02-28,123
2023-03-01,146
2023-03-02,140
2023-03-03,135
2023-03-04,127
2023-03-05,132
2023-03-06,118
2023-03-07,134
2023-03-08,119
2023-03-09,126
2023-03-10,148
2023-03-11,128
2023-03-12,121
2023-03-13,144
2023-03-14,151
2023-03-15,139
2023-03-16,151
2023-03-17,144
2023-03-18,107
2023-03-19,125
2023-03-20,116
2023-03-21,117
2023-03-22,125
2023-03-23,129
2023-03-24,145
2023-03-25,129
2023-03-26,134
2023-03-27,143
2023-03-28,161
2023-03-29,123
2023-03-30,124
2023-03-31,128
2023-04-01,148
